Cone ID,World Coordinates
0,[   0.058652     0.12181    -0.86798]
1,[        nan         nan         nan]
0,[    0.05865      0.1218    -0.86795]
1,[        nan         nan         nan]
0,[   0.058645     0.12179    -0.86788]
1,[        nan         nan         nan]
0,[   0.058643     0.12179    -0.86785]
1,[        nan         nan         nan]
0,[   0.058791     0.12142    -0.86778]
1,[        nan         nan         nan]
0,[   0.058847     0.12129    -0.86772]
1,[        nan         nan         nan]
0,[   0.058868     0.12124    -0.86768]
1,[        nan         nan         nan]
0,[   0.058861     0.12125    -0.86766]
1,[        nan         nan         nan]
0,[    0.05884      0.1213    -0.86765]
1,[        nan         nan         nan]
0,[   0.058923     0.12137    -0.86768]
1,[        nan         nan         nan]
0,[   0.058961     0.12144     -0.8677]
1,[        nan         nan         nan]
0,[   0.059068     0.12128     -0.8677]
1,[        nan         nan         nan]
0,[   0.059112     0.12119    -0.86769]
1,[        nan         nan         nan]
0,[   0.059106     0.12119     -0.8677]
1,[        nan         nan         nan]
0,[   0.059068     0.12124     -0.8677]
1,[        nan         nan         nan]
0,[   0.059016     0.12129    -0.86771]
1,[        nan         nan         nan]
0,[   0.058959     0.12136    -0.86771]
1,[        nan         nan         nan]
0,[     0.0589     0.12145    -0.86769]
1,[        nan         nan         nan]
0,[    0.05884     0.12152    -0.86769]
1,[        nan         nan         nan]
0,[   0.058804     0.12158    -0.86774]
1,[        nan         nan         nan]
0,[   0.058773     0.12162    -0.86777]
1,[        nan         nan         nan]
0,[   0.058638     0.12163    -0.86779]
1,[        nan         nan         nan]
0,[   0.058555     0.12165     -0.8678]
1,[        nan         nan         nan]
0,[   0.058512     0.12167    -0.86779]
1,[        nan         nan         nan]
0,[   0.058495     0.12169    -0.86778]
1,[        nan         nan         nan]
0,[     0.0585     0.12169    -0.86779]
1,[        nan         nan         nan]
0,[   0.058512     0.12171     -0.8678]
1,[        nan         nan         nan]
0,[   0.058769     0.12149    -0.86781]
1,[        nan         nan         nan]
0,[   0.058914     0.12136    -0.86783]
1,[        nan         nan         nan]
0,[   0.058985     0.12132    -0.86785]
1,[        nan         nan         nan]
0,[   0.059009     0.12134    -0.86788]
1,[        nan         nan         nan]
0,[   0.058995     0.12137    -0.86789]
1,[        nan         nan         nan]
0,[    0.05919     0.12119    -0.86788]
1,[        nan         nan         nan]
0,[   0.059271     0.12112    -0.86788]
1,[        nan         nan         nan]
0,[   0.059286     0.12113    -0.86789]
1,[        nan         nan         nan]
0,[    0.05936     0.12117     -0.8679]
1,[        nan         nan         nan]
0,[   0.059484     0.12126    -0.86792]
1,[        nan         nan         nan]
0,[   0.059496     0.12138    -0.86796]
1,[        nan         nan         nan]
0,[   0.059554     0.12145      -0.868]
1,[        nan         nan         nan]
0,[   0.059545     0.12155    -0.86804]
